"","permutation","a","b","c","d","tau","r_lower","r_upper","intervention"
"1","1",0,1170,36,168032,0,0,100,"Intervention"
"2","2",0,1130,36,168032,0,0,100,"Intervention"
"3","3",2,1194,36,168032,7.81835101433091,0,100,"Intervention"
"4","4",0,1162,36,168032,0,0,100,"Intervention"
"5","5",0,1064,36,168032,0,0,100,"Intervention"
"6","6",0,1130,36,168032,0,0,100,"Intervention"
"7","7",2,1230,36,168032,7.58952122854562,0,100,"Intervention"
"8","8",0,1216,36,168032,0,0,100,"Intervention"
"9","9",0,1228,36,168032,0,0,100,"Intervention"
"10","10",0,1222,36,168032,0,0,100,"Intervention"
"11","11",0,1116,36,168032,0,0,100,"Intervention"
"12","12",0,1198,36,168032,0,0,100,"Intervention"
"13","13",0,1168,36,168032,0,0,100,"Intervention"
"14","14",0,1164,36,168032,0,0,100,"Intervention"
"15","15",0,1140,36,168032,0,0,100,"Intervention"
"16","16",0,1266,36,168032,0,0,100,"Intervention"
"17","17",0,1208,36,168032,0,0,100,"Intervention"
"18","18",0,1222,36,168032,0,0,100,"Intervention"
"19","19",0,1192,36,168032,0,0,100,"Intervention"
"20","20",2,1286,36,168032,7.25902885778469,0,100,"Intervention"
"21","21",0,1262,36,168032,0,0,100,"Intervention"
"22","22",0,1318,36,168032,0,0,100,"Intervention"
"23","23",0,1194,36,168032,0,0,100,"Intervention"
"24","24",2,1162,36,168032,8.033658443297,0,100,"Intervention"
"25","25",0,1144,36,168032,0,0,100,"Intervention"
"26","26",0,1206,36,168032,0,0,100,"Intervention"
"27","27",0,1192,36,168032,0,0,100,"Intervention"
"28","28",0,1156,36,168032,0,0,100,"Intervention"
"29","29",0,1124,36,168032,0,0,100,"Intervention"
"30","30",0,1178,36,168032,0,0,100,"Intervention"
"31","31",2,1208,36,168032,7.72774098601913,0,100,"Intervention"
"32","32",0,1190,36,168032,0,0,100,"Intervention"
"33","33",0,1184,36,168032,0,0,100,"Intervention"
"34","34",0,1302,36,168032,0,0,100,"Intervention"
"35","35",0,1216,36,168032,0,0,100,"Intervention"
"36","36",0,1232,36,168032,0,0,100,"Intervention"
"37","37",0,1194,36,168032,0,0,100,"Intervention"
"38","38",0,1294,36,168032,0,0,100,"Intervention"
"39","39",0,1104,36,168032,0,0,100,"Intervention"
"40","40",0,1172,36,168032,0,0,100,"Intervention"
"41","41",0,1166,36,168032,0,0,100,"Intervention"
"42","42",0,1242,36,168032,0,0,100,"Intervention"
"43","43",0,1058,36,168032,0,0,100,"Intervention"
"44","44",0,1126,36,168032,0,0,100,"Intervention"
"45","45",0,1176,36,168032,0,0,100,"Intervention"
"46","46",0,1172,36,168032,0,0,100,"Intervention"
"47","47",0,1126,36,168032,0,0,100,"Intervention"
"48","48",0,1094,36,168032,0,0,100,"Intervention"
"49","49",0,1214,36,168032,0,0,100,"Intervention"
"50","50",0,1120,36,168032,0,0,100,"Intervention"
"51","51",0,1134,36,168032,0,0,100,"Intervention"
"52","52",0,1244,36,168032,0,0,100,"Intervention"
"53","53",0,1244,36,168032,0,0,100,"Intervention"
"54","54",0,1214,36,168032,0,0,100,"Intervention"
"55","55",0,1196,36,168032,0,0,100,"Intervention"
"56","56",0,1172,36,168032,0,0,100,"Intervention"
"57","57",0,1208,36,168032,0,0,100,"Intervention"
"58","58",0,1248,36,168032,0,0,100,"Intervention"
"59","59",0,1148,36,168032,0,0,100,"Intervention"
"60","60",0,1132,36,168032,0,0,100,"Intervention"
"61","61",0,1182,36,168032,0,0,100,"Intervention"
"62","62",0,1192,36,168032,0,0,100,"Intervention"
"63","63",0,1228,36,168032,0,0,100,"Intervention"
"64","64",0,1214,36,168032,0,0,100,"Intervention"
"65","65",0,1248,36,168032,0,0,100,"Intervention"
"66","66",0,1196,36,168032,0,0,100,"Intervention"
"67","67",0,1112,36,168032,0,0,100,"Intervention"
"68","68",0,1220,36,168032,0,0,100,"Intervention"
"69","69",0,1188,36,168032,0,0,100,"Intervention"
"70","70",0,1216,36,168032,0,0,100,"Intervention"
"71","71",0,1180,36,168032,0,0,100,"Intervention"
"72","72",0,1142,36,168032,0,0,100,"Intervention"
"73","73",0,1310,36,168032,0,0,100,"Intervention"
"74","74",0,1102,36,168032,0,0,100,"Intervention"
"75","75",0,1202,36,168032,0,0,100,"Intervention"
"76","76",0,1194,36,168032,0,0,100,"Intervention"
"77","77",0,1218,36,168032,0,0,100,"Intervention"
"78","78",0,1158,36,168032,0,0,100,"Intervention"
"79","79",2,1148,36,168032,8.13162988772745,0,100,"Intervention"
"80","80",0,1170,36,168032,0,0,100,"Intervention"
"81","81",0,1190,36,168032,0,0,100,"Intervention"
"82","82",0,1264,36,168032,0,0,100,"Intervention"
"83","83",0,1154,36,168032,0,0,100,"Intervention"
"84","84",0,1130,36,168032,0,0,100,"Intervention"
"85","85",0,1220,36,168032,0,0,100,"Intervention"
"86","86",0,1204,36,168032,0,0,100,"Intervention"
"87","87",0,1158,36,168032,0,0,100,"Intervention"
"88","88",0,1158,36,168032,0,0,100,"Intervention"
"89","89",0,1248,36,168032,0,0,100,"Intervention"
"90","90",0,1244,36,168032,0,0,100,"Intervention"
"91","91",0,1104,36,168032,0,0,100,"Intervention"
"92","92",0,1136,36,168032,0,0,100,"Intervention"
"93","93",2,1150,36,168032,8.11748792270531,0,100,"Intervention"
"94","94",0,1142,36,168032,0,0,100,"Intervention"
"95","95",0,1166,36,168032,0,0,100,"Intervention"
"96","96",0,1196,36,168032,0,0,100,"Intervention"
"97","97",0,1194,36,168032,0,0,100,"Intervention"
"98","98",0,1202,36,168032,0,0,100,"Intervention"
"99","99",0,1306,36,168032,0,0,100,"Intervention"
"100","100",0,1156,36,168032,0,0,100,"Intervention"
"101","101",0,1202,36,168032,0,0,100,"Intervention"
"102","102",0,1218,36,168032,0,0,100,"Intervention"
"103","103",0,1172,36,168032,0,0,100,"Intervention"
"104","104",2,1136,36,168032,8.21752738654147,0,100,"Intervention"
"105","105",0,1112,36,168032,0,0,100,"Intervention"
"106","106",0,1230,36,168032,0,0,100,"Intervention"
"107","107",0,1130,36,168032,0,0,100,"Intervention"
"108","108",0,1206,36,168032,0,0,100,"Intervention"
"109","109",0,1164,36,168032,0,0,100,"Intervention"
"110","110",0,1138,36,168032,0,0,100,"Intervention"
"111","111",0,1104,36,168032,0,0,100,"Intervention"
"112","112",0,1232,36,168032,0,0,100,"Intervention"
"113","113",2,1252,36,168032,7.45615903443379,0,100,"Intervention"
"114","114",0,1258,36,168032,0,0,100,"Intervention"
"115","115",0,1222,36,168032,0,0,100,"Intervention"
"116","116",0,1146,36,168032,0,0,100,"Intervention"
"117","117",0,1206,36,168032,0,0,100,"Intervention"
"118","118",0,1176,36,168032,0,0,100,"Intervention"
"119","119",2,1072,36,168032,8.70812603648424,0,100,"Intervention"
"120","120",0,1202,36,168032,0,0,100,"Intervention"
"121","121",0,1202,36,168032,0,0,100,"Intervention"
"122","122",0,1154,36,168032,0,0,100,"Intervention"
"123","123",2,1274,36,168032,7.32740275597418,0,100,"Intervention"
"124","124",0,1146,36,168032,0,0,100,"Intervention"
"125","125",0,1136,36,168032,0,0,100,"Intervention"
"126","126",0,1108,36,168032,0,0,100,"Intervention"
"127","127",0,1110,36,168032,0,0,100,"Intervention"
"128","128",0,1108,36,168032,0,0,100,"Intervention"
"129","129",0,1094,36,168032,0,0,100,"Intervention"
"130","130",0,1178,36,168032,0,0,100,"Intervention"
"131","131",2,1178,36,168032,7.92454253914356,0,100,"Intervention"
"132","132",0,1190,36,168032,0,0,100,"Intervention"
"133","133",0,1182,36,168032,0,0,100,"Intervention"
"134","134",0,1170,36,168032,0,0,100,"Intervention"
"135","135",0,1286,36,168032,0,0,100,"Intervention"
"136","136",0,1214,36,168032,0,0,100,"Intervention"
"137","137",0,1078,36,168032,0,0,100,"Intervention"
"138","138",0,1228,36,168032,0,0,100,"Intervention"
"139","139",2,1188,36,168032,7.85783763561541,0,100,"Intervention"
"140","140",0,1168,36,168032,0,0,100,"Intervention"
"141","141",0,1134,36,168032,0,0,100,"Intervention"
"142","142",0,1350,36,168032,0,0,100,"Intervention"
